school_code,school_name,location,city,school_nature,school_level,is985,is211,is_double_first,description
11067,潍坊学院,潍坊,潍坊市,公办,本科,0,0,0,潍坊学院是教育部公布的普通高等学校（本科），位于潍坊·潍坊市。
12843,潍坊科技学院,潍坊,潍坊市,民办,本科,0,0,0,潍坊科技学院是教育部公布的普通高等学校（本科），位于潍坊·潍坊市。
10578,韩山师范学院,潮州,潮州市,公办,本科,0,0,0,韩山师范学院是教育部公布的普通高等学校（本科），位于潮州·潮州市。
11688,山东工商学院,烟台,烟台市,公办,本科,0,0,0,山东工商学院是教育部公布的普通高等学校（本科），位于烟台·烟台市。
12332,烟台南山学院,烟台,烟台市,民办,本科,0,0,0,烟台南山学院是教育部公布的普通高等学校（本科），位于烟台·烟台市。
11066,烟台大学,烟台,烟台市,公办,本科,0,0,0,烟台大学是教育部公布的普通高等学校（本科），位于烟台·烟台市。
13359,烟台大学文经学院,烟台,烟台市,民办,本科,0,0,0,烟台大学文经学院是教育部公布的普通高等学校（本科），位于烟台·烟台市。
13997,青岛农业大学海都学院,烟台,烟台市,民办,本科,0,0,0,青岛农业大学海都学院是教育部公布的普通高等学校（本科），位于烟台·烟台市。
10451,鲁东大学,烟台,烟台市,公办,本科,0,0,0,鲁东大学是教育部公布的普通高等学校（本科），位于烟台·烟台市。
10460,河南理工大学,焦作,焦作市,公办,本科,0,0,0,河南理工大学是教育部公布的普通高等学校（本科），位于焦作·焦作市。
13498,黄河交通学院,焦作,焦作市,民办,本科,0,0,0,黄河交通学院是教育部公布的普通高等学校（本科），位于焦作·焦作市。
10229,牡丹江医学院,牡丹江,牡丹江市,公办,本科,0,0,0,牡丹江医学院是教育部公布的普通高等学校（本科），位于牡丹江·牡丹江市。
10233,牡丹江师范学院,牡丹江,牡丹江市,公办,本科,0,0,0,牡丹江师范学院是教育部公布的普通高等学校（本科），位于牡丹江·牡丹江市。
10606,玉林师范学院,玉林,玉林市,公办,本科,0,0,0,玉林师范学院是教育部公布的普通高等学校（本科），位于玉林·玉林市。
11390,玉溪师范学院,玉溪,玉溪市,公办,本科,0,0,0,玉溪师范学院是教育部公布的普通高等学校（本科），位于玉溪·玉溪市。
16401,北京师范大学-香港浸会大学联合国际学院,珠海,珠海市,公办,本科,0,0,0,北京师范大学-香港浸会大学联合国际学院是教育部公布的普通高等学校（本科），位于珠海·珠海市。
13177,北京师范大学珠海分校,珠海,珠海市,民办,本科,0,0,0,北京师范大学珠海分校是教育部公布的普通高等学校（本科），位于珠海·珠海市。
13675,北京理工大学珠海学院,珠海,珠海市,民办,本科,0,0,0,北京理工大学珠海学院是教育部公布的普通高等学校（本科），位于珠海·珠海市。
13684,吉林大学珠海学院,珠海,珠海市,民办,本科,0,0,0,吉林大学珠海学院是教育部公布的普通高等学校（本科），位于珠海·珠海市。
11561,甘肃民族师范学院,"甘南藏族
自治州","甘南藏族
自治州",公办,本科,0,0,0,"甘肃民族师范学院是教育部公布的普通高等学校（本科），位于甘南藏族
自治州·甘南藏族
自治州。"
11661,四川民族学院,"甘孜藏族
自治州","甘孜藏族
自治州",公办,本科,0,0,0,"四川民族学院是教育部公布的普通高等学校（本科），位于甘孜藏族
自治州·甘孜藏族
自治州。"
10206,白城师范学院,白城,白城市,公办,本科,0,0,0,白城师范学院是教育部公布的普通高等学校（本科），位于白城·白城市。
10599,右江民族医学院,百色,百色市,公办,本科,0,0,0,右江民族医学院是教育部公布的普通高等学校（本科），位于百色·百色市。
10609,百色学院,百色,百色市,公办,本科,0,0,0,百色学院是教育部公布的普通高等学校（本科），位于百色·百色市。
11527,湖南城市学院,益阳,益阳市,公办,本科,0,0,0,湖南城市学院是教育部公布的普通高等学校（本科），位于益阳·益阳市。
10305,盐城工学院,盐城,盐城市,公办,本科,0,0,0,盐城工学院是教育部公布的普通高等学校（本科），位于盐城·盐城市。
10324,盐城师范学院,盐城,盐城市,公办,本科,0,0,0,盐城师范学院是教育部公布的普通高等学校（本科），位于盐城·盐城市。
14039,四川大学锦江学院,眉山,眉山市,民办,本科,0,0,0,四川大学锦江学院是教育部公布的普通高等学校（本科），位于眉山·眉山市。
12544,宁夏理工学院,石嘴山,石嘴山市,民办,本科,0,0,0,宁夏理工学院是教育部公布的普通高等学校（本科），位于石嘴山·石嘴山市。
14432,河北中医学院,石家庄,石家庄市,公办,本科,0,0,0,河北中医学院是教育部公布的普通高等学校（本科），位于石家庄·石家庄市。
12784,河北传媒学院,石家庄,石家庄市,民办,本科,0,0,0,河北传媒学院是教育部公布的普通高等学校（本科），位于石家庄·石家庄市。
11236,河北体育学院,石家庄,石家庄市,公办,本科,0,0,0,河北体育学院是教育部公布的普通高等学校（本科），位于石家庄·石家庄市。
10089,河北医科大学,石家庄,石家庄市,公办,本科,0,0,0,河北医科大学是教育部公布的普通高等学校（本科），位于石家庄·石家庄市。
13415,河北医科大学临床学院,石家庄,石家庄市,民办,本科,0,0,0,河北医科大学临床学院是教育部公布的普通高等学校（本科），位于石家庄·石家庄市。
10077,河北地质大学,石家庄,石家庄市,公办,本科,0,0,0,河北地质大学是教育部公布的普通高等学校（本科），位于石家庄·石家庄市。
13594,河北地质大学华信学院,石家庄,石家庄市,民办,本科,0,0,0,河北地质大学华信学院是教育部公布的普通高等学校（本科），位于石家庄·石家庄市。
13402,河北外国语学院,石家庄,石家庄市,民办,本科,0,0,0,河北外国语学院是教育部公布的普通高等学校（本科），位于石家庄·石家庄市。
12796,河北工程技术学院,石家庄,石家庄市,民办,本科,0,0,0,河北工程技术学院是教育部公布的普通高等学校（本科），位于石家庄·石家庄市。
10094,河北师范大学,石家庄,石家庄市,公办,本科,0,0,0,河北师范大学是教育部公布的普通高等学校（本科），位于石家庄·石家庄市。
